frame_id,image_path,timestamp,backend,n_detections,max_confidence,monitor_score,q95_threshold,q99_threshold,state_before,state_after,transition_reason,latency_ms
60,D:\Pruthu\cv projects\research\Safety-Monitored Edge Perception for ADAS\data\processed\kitti_yolo\images\val\000811.png,2026-07-17T12:01:16.555541+00:00,pytorch,6,0.741198,0.258802,0.186212,0.3727595999999983,NOMINAL,NOMINAL,no_change,15.45
61,D:\Pruthu\cv projects\research\Safety-Monitored Edge Perception for ADAS\data\processed\kitti_yolo\images\val\000822.png,2026-07-17T12:01:16.569651+00:00,pytorch,5,0.893198,0.106802,0.186212,0.3727595999999983,NOMINAL,NOMINAL,no_change,14.58
62,D:\Pruthu\cv projects\research\Safety-Monitored Edge Perception for ADAS\data\processed\kitti_yolo\images\val\000828.png,2026-07-17T12:01:16.584651+00:00,pytorch,1,0.889872,0.110128,0.186212,0.3727595999999983,NOMINAL,NOMINAL,no_change,14.75
63,D:\Pruthu\cv projects\research\Safety-Monitored Edge Perception for ADAS\data\processed\kitti_yolo\images\val\000867.png,2026-07-17T12:01:16.599545+00:00,pytorch,23,0.926912,0.073088,0.186212,0.3727595999999983,NOMINAL,NOMINAL,no_change,14.94
64,D:\Pruthu\cv projects\research\Safety-Monitored Edge Perception for ADAS\data\processed\kitti_yolo\images\val\000884.png,2026-07-17T12:01:16.616556+00:00,pytorch,7,0.925114,0.074886,0.186212,0.3727595999999983,NOMINAL,NOMINAL,no_change,16.11
65,D:\Pruthu\cv projects\research\Safety-Monitored Edge Perception for ADAS\data\processed\kitti_yolo\images\val\000887.png,2026-07-17T12:01:16.632568+00:00,pytorch,8,0.91073,0.08927,0.186212,0.3727595999999983,NOMINAL,NOMINAL,no_change,16.17
66,D:\Pruthu\cv projects\research\Safety-Monitored Edge Perception for ADAS\data\processed\kitti_yolo\images\val\000893.png,2026-07-17T12:01:16.649077+00:00,pytorch,3,0.911228,0.088772,0.186212,0.3727595999999983,NOMINAL,NOMINAL,no_change,16.52
67,D:\Pruthu\cv projects\research\Safety-Monitored Edge Perception for ADAS\data\processed\kitti_yolo\images\val\000908.png,2026-07-17T12:01:16.665095+00:00,pytorch,3,0.758285,0.241715,0.186212,0.3727595999999983,NOMINAL,NOMINAL,no_change,15.73
68,D:\Pruthu\cv projects\research\Safety-Monitored Edge Perception for ADAS\data\processed\kitti_yolo\images\val\000910.png,2026-07-17T12:01:16.681911+00:00,pytorch,19,0.933022,0.066978,0.186212,0.3727595999999983,NOMINAL,NOMINAL,no_change,16.54
69,D:\Pruthu\cv projects\research\Safety-Monitored Edge Perception for ADAS\data\processed\kitti_yolo\images\val\000929.png,2026-07-17T12:01:16.698703+00:00,pytorch,3,0.908108,0.091892,0.186212,0.3727595999999983,NOMINAL,NOMINAL,no_change,16.93
